id	trip_id	stage	provider	model	prompt_tokens	completion_tokens	total_tokens	duration_ms	success	error_code	error_msg	created_at
2035	336	PARSE	glm	glm-5.3-flash	1070	206	1276	8516	1	NULL		2026-09-23 20:39:13
2036	336	CANDIDATE	glm	glm-5.3-flash	698	403	1101	13846	1	NULL		2026-09-23 20:39:27
2037	336	COMPOSE	glm	glm-5.3-flash	1359	1220	2579	32839	1	NULL		2026-09-23 20:40:00
2038	336	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	第 0 轮校验：有 0 个严重问题、0 个一般问题未能自动解决；1. [LOW] 预计花费 550 元，略超预算 10%（总计 500 元） → 可以保留，若想控制成本可把其中一项换成免费点位	2026-09-23 20:40:00
2039	336	ROUTE	map	NULL	NULL	NULL	NULL	55353	1	NULL		2026-09-23 20:40:00
2040	336	COPY	glm	glm-5.3-flash	1148	423	1571	15331	1	NULL		2026-09-23 20:40:15
2041	337	PARSE	glm	glm-5.3-flash	1070	101	1171	4560	1	NULL		2026-09-23 20:40:20
2042	337	CANDIDATE	glm	glm-5.3-flash	698	761	1459	31766	1	NULL		2026-09-23 20:40:52
2043	337	COMPOSE	glm	glm-5.3-flash	1383	1235	2618	33245	1	NULL		2026-09-23 20:41:25
2044	337	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL		2026-09-23 20:41:25
2045	337	ROUTE	map	NULL	NULL	NULL	NULL	69670	1	NULL		2026-09-23 20:41:25
2046	337	COPY	glm	glm-5.3-flash	1147	428	1575	17510	1	NULL		2026-09-23 20:41:42
2047	338	PARSE	glm	glm-5.3-flash	1070	109	1179	3038	1	NULL		2026-09-23 20:41:46
2048	338	CANDIDATE	glm	glm-5.3-flash	698	467	1165	14838	1	NULL		2026-09-23 20:42:00
2049	338	COMPOSE	glm	glm-5.3-flash	1433	863	2296	25357	1	NULL		2026-09-23 20:42:26
