idx,inputIdx,tripId,rounds,mapMode,model,durationMs,tokens,estCost,composeError,validationCount,highCount
1,1,290,0,ESTIMATED,glm-5.3-flash,76845,5540,,,0,0
2,2,291,1,ESTIMATED,glm-5.3-flash,94225,8001,,,0,0
3,3,292,1,ESTIMATED,glm-5.3-flash,92514,7262,,,0,0
4,4,293,1,ESTIMATED,glm-5.3-flash,95926,7372,,,1,0
5,5,294,1,ESTIMATED,glm-5.3-flash,118476,5281,,,0,0
6,6,295,1,ESTIMATED,glm-5.3-flash,128839,12150,,,1,0
7,1,296,0,ESTIMATED,glm-5.3-flash,51580,4745,,,0,0
8,2,297,1,ESTIMATED,glm-5.3-flash,95112,7886,,,0,0
9,3,298,1,ESTIMATED,glm-5.3-flash,98578,5076,,,0,0
10,4,299,0,ESTIMATED,glm-5.3-flash,61159,6923,,,0,0
11,5,300,0,ESTIMATED,glm-5.3-flash,71057,5138,,,0,0
12,6,301,1,ESTIMATED,glm-5.3-flash,99702,5493,,,0,0
13,1,302,0,ESTIMATED,glm-5.3-flash,74089,5777,,,0,0
14,2,303,1,ESTIMATED,glm-5.3-flash,91017,7668,,,0,0
15,3,304,1,ESTIMATED,glm-5.3-flash,94126,7156,,,0,0
16,4,305,1,ESTIMATED,glm-5.3-flash,89434,4580,,,0,0
17,5,306,0,ESTIMATED,glm-5.3-flash,54765,6904,,,0,0
18,6,307,1,ESTIMATED,glm-5.3-flash,107819,8893,,,0,0
19,1,308,0,ESTIMATED,glm-5.3-flash,70897,5239,,,0,0
20,2,309,1,ESTIMATED,glm-5.3-flash,112560,5560,,,0,0
21,3,310,0,ESTIMATED,glm-5.3-flash,48598,8070,,,0,0
22,4,311,0,ESTIMATED,glm-5.3-flash,44830,4412,,,0,0
23,5,312,0,ESTIMATED,glm-5.3-flash,1230421,2908,0.0046,[qwen] 大模型服务端错误：已尝试全部候选厂商 [glm:LLM_TIMEOUT, qwen:LLM_SERVER_ERROR]，均失败。最后一次原因：[qwen] 大模型服务端错误：调用外部服务失败,0,0
24,6,,,,,,,,,0,0
25,1,,,,,,,,,0,0
26,2,,,,,,,,,0,0
27,3,,,,,,,,,0,0
28,4,,,,,,,,,0,0
29,5,,,,,,,,,0,0
30,6,,,,,,,,,0,0
