round,city,keyword,coldMs,coldMode,coldCount,warmMs,warmMode,warmCount
1,大同,景点,620,VERIFIED,10,9,VERIFIED,10
2,大同,景点,1081,VERIFIED,10,10,VERIFIED,10
3,大同,景点,256,VERIFIED,10,8,VERIFIED,10
4,大同,景点,291,VERIFIED,10,9,VERIFIED,10
5,大同,景点,283,VERIFIED,10,9,VERIFIED,10
6,大同,景点,252,VERIFIED,10,8,VERIFIED,10
7,大同,景点,283,VERIFIED,10,8,VERIFIED,10
8,大同,景点,292,VERIFIED,10,8,VERIFIED,10
9,大同,景点,274,VERIFIED,10,9,VERIFIED,10
10,大同,景点,313,VERIFIED,10,8,VERIFIED,10
11,大同,景点,246,VERIFIED,10,8,VERIFIED,10
12,大同,景点,268,VERIFIED,10,9,VERIFIED,10
13,大同,景点,282,VERIFIED,10,8,VERIFIED,10
14,大同,景点,253,VERIFIED,10,8,VERIFIED,10
15,大同,景点,279,VERIFIED,10,9,VERIFIED,10
16,大同,景点,257,VERIFIED,10,8,VERIFIED,10
17,大同,景点,289,VERIFIED,10,9,VERIFIED,10
18,大同,景点,264,VERIFIED,10,9,VERIFIED,10
19,大同,景点,251,VERIFIED,10,7,VERIFIED,10
20,大同,景点,249,VERIFIED,10,7,VERIFIED,10
