id	trip_id	stage	provider	model	prompt_tokens	completion_tokens	total_tokens	duration_ms	success	error_code	created_at
1951	322	PARSE	glm	glm-5.3-flash	1075	136	1211	1579	1	NULL	2026-09-23 19:50:07
1952	322	CANDIDATE	glm	glm-5.3-flash	698	634	1332	6339	1	NULL	2026-09-23 19:50:13
1953	322	COMPOSE	glm	glm-5.3-flash	1483	1668	3151	38228	1	NULL	2026-09-23 19:50:51
1954	322	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	2026-09-23 19:50:51
1955	322	COMPOSE	glm	glm-5.3-flash	1586	1439	3025	36509	1	NULL	2026-09-23 19:51:28
1956	322	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	2026-09-23 19:51:28
1957	322	ROUTE	map	NULL	NULL	NULL	NULL	82780	1	NULL	2026-09-23 19:51:28
1963	324	PARSE	glm	glm-5.3-flash	1068	94	1162	4169	1	NULL	2026-09-23 19:52:26
1964	324	CANDIDATE	glm	glm-5.3-flash	732	411	1143	49665	1	NULL	2026-09-23 19:53:16
1965	324	COMPOSE	glm	glm-5.3-flash	1355	642	1997	25342	1	NULL	2026-09-23 19:53:42
1966	324	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	2026-09-23 19:53:42
1967	324	ROUTE	map	NULL	NULL	NULL	NULL	79259	1	NULL	2026-09-23 19:53:42
1973	326	PARSE	glm	glm-5.3-flash	1071	112	1183	3590	1	NULL	2026-09-23 19:54:41
1974	326	CANDIDATE	glm	glm-5.3-flash	698	514	1212	16740	1	NULL	2026-09-23 19:54:58
1975	326	COMPOSE	glm	glm-5.3-flash	1461	1117	2578	34422	1	NULL	2026-09-23 19:55:33
1976	326	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	2026-09-23 19:55:33
1977	326	COMPOSE	glm	glm-5.3-flash	1564	1153	2717	34097	1	NULL	2026-09-23 19:56:07
1978	326	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	0	VALIDATION_FAILED	2026-09-23 19:56:07
1979	326	ROUTE	map	NULL	NULL	NULL	NULL	88979	1	NULL	2026-09-23 19:56:07
1980	327	PARSE	glm	glm-5.3-flash	1074	132	1206	4707	1	NULL	2026-09-23 19:56:12
1981	327	CANDIDATE	glm	glm-5.3-flash	700	942	1642	39978	1	NULL	2026-09-23 19:56:52
1982	327	COMPOSE	glm	glm-5.3-flash	1265	820	2085	27752	1	NULL	2026-09-23 19:57:19
1983	327	VALIDATE	NULL	NULL	NULL	NULL	NULL	NULL	1	NULL	2026-09-23 19:57:19
1984	327	ROUTE	map	NULL	NULL	NULL	NULL	72513	1	NULL	2026-09-23 19:57:19
